"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions"
"Hunter Shark","MM","Large","beast","unaligned","12 (natural armor)","45 (6d10 + 12)","0 ft., swim 40 ft.","18","13","15","1","10","4","","Perception +2","","","","","blindsight 30 ft., passive Perception 12","—","2 (450 XP)"," Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. Water Breathing. The shark can breathe only underwater."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.","","",""
"Nothic","MM","Medium","aberration","neutral evil","15 (natural armor)","45 (6d8 + 18)","30 ft.","14","16","16","13","10","8","","Arcana +3, Insight +4, Perception +2, Stealth +5","","","","","truesight 120 ft., passive Perception 12","Undercommon","2 (450 XP)"," Keen Sight. The nothic has advantage on Wisdom (Perception) checks that rely on sight."," Multiattack. The nothic makes two claw attacks. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage. Rotting Gaze. The nothic targets one creature it can see within 30 feet of it. The target must succeed on a DC 12 Constitution saving throw against this magic or take 10 (3d6) necrotic damage. Weird Insight. The nothic targets one creature it can see within 30 feet of it. The target must contest its Charisma (Deception) check against the nothic's Wisdom (Insight) check. If the nothic wins, it magically learns one fact or secret about the target. The target automatically wins if it is immune to being charmed.","","",""
"Ochre Jelly","MM","Large","ooze","unaligned","8","45 (6d10 + 12)","10 ft., climb 10 ft.","15","6","14","2","6","1","","","","acid","lightning, slashing","blinded, charmed, deafened, exhaustion, frightened, prone","blindsight 60 ft. (blind beyond this radius), passive Perception 8","—","2 (450 XP)"," Amorphous. The jelly can move through a space as narrow as 1 inch wide without squeezing. Spider Climb. The jelly can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Pseudopod. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) bludgeoning damage plus 3 (1d6) acid damage.",""," Split. When a jelly that is Medium or larger is subjected to lightning or slashing damage, it splits into two new jellies if it has at least 10 hit points. Each new jelly has hit points equal to half the original jelly's, rounded down. New jellies are one size smaller than the original jelly.",""
"Ogre","MM","Large","giant","chaotic evil","11 (hide armor)","59 (7d10 + 21)","40 ft.","19","8","16","5","7","7","","","","","","","darkvision 60 ft., passive Perception 8","Common, Giant","2 (450 XP)",""," Greatclub. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage. Javelin. Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 11 (2d6 + 4) piercing damage.","","",""
"Pegasus","MM","Large","celestial","chaotic good","12","59 (7d10 + 21)","60 ft., fly 90 ft.","18","15","16","10","15","13","Dex +4, Wis +4, Cha +3","Perception +6","","","","","passive Perception 16","understands Celestial, Common, Elvish, and Sylvan but can't speak","2 (450 XP)",""," Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.","","",""
"Plesiosaurus","MM","Large","beast","unaligned","13 (natural armor)","68 (8d10 + 24)","20 ft., swim 40 ft.","18","15","16","2","12","5","","Perception +3, Stealth +4","","","","","passive Perception 13","—","2 (450 XP)"," Hold Breath. The plesiosaurus can hold its breath for 1 hour."," Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) piercing damage.","","",""
"Polar Bear","MM","Large","beast","unaligned","12 (natural armor)","42 (5d10 + 15)","40 ft., swim 30 ft.","20","10","16","2","13","7","","Perception +3","","","","","passive Perception 13","—","2 (450 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage. Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","",""
"Priest","MM","Medium","humanoid (any race)","any alignment","13 (chain shirt)","27 (5d8 + 5)","30 ft.","10","10","12","13","16","13","","Medicine +7, Persuasion +3, Religion +5","","","","","passive Perception 13","any two languages","2 (450 XP)"," Divine Eminence. As a bonus action, the priest can expend a spell slot to cause its melee weapon attacks to magically deal an extra 10 (3d6) radiant damage to a target on a hit. This benefit lasts until the end of the turn. If the priest expends a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each level above 1st. Spellcasting. The priest is a 5th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 13, +5 to hit with spell attacks). The priest has the following cleric spells prepared:Cantrips (at will): light, sacred flame, thaumaturgy1st level (4 slots): cure wounds, guiding bolt, sanctuary2nd level (3 slots): lesser restoration, spiritual weapon3rd level (2 slots): dispel magic, spirit guardians"," Mace. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage.","","",""
"Rhinoceros","MM","Large","beast","unaligned","11 (natural armor)","45 (6d10 + 12)","40 ft.","21","8","15","2","12","6","","","","","","","passive Perception 11","—","2 (450 XP)"," Charge. If the rhinoceros moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone."," Gore. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.","","",""
"Saber-Toothed Tiger","MM","Large","beast","unaligned","12","52 (7d10 + 14)","40 ft.","18","14","15","3","12","8","","Perception +3, Stealth +6","","","","","passive Perception 13","—","2 (450 XP)"," Keen Smell. The tiger has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the tiger moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the tiger can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (1d10 + 5) piercing damage. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","",""
"Swarm of Poisonous Snakes","MM","Medium","swarm of tiny beasts","unaligned","14","36 (8d8)","30 ft., swim 30 ft.","8","18","11","1","10","3","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 10","—","2 (450 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny snake. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer. The target must make a DC 10 Constitution saving throw, taking 14 (4d6) poison damage on a failed save, or half as much damage on a successful one.","","",""
