"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions"
"Giant Fire Beetle","MM","Small","beast","unaligned","13 (natural armor)","4 (1d6 + 1)","30 ft.","8","10","12","1","7","3","","","","","","","blindsight 30 ft., passive Perception 8","—","0 (0 or 10 XP)"," Illumination. The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 ft.."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) slashing damage.","","",""
"Goat","MM","Medium","beast","unaligned","10","4 (1d8)","40 ft.","12","10","11","2","10","5","","","","","","","passive Perception 10","—","0 (0 or 10 XP)"," Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 10 Strength saving throw or be knocked prone. Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.","","",""
"Hawk","MM","Tiny","beast","unaligned","13","1 (1d4 - 1)","10 ft., fly 60 ft.","5","16","8","2","14","6","","Perception +4","","","","","passive Perception 14","—","0 (0 or 10 XP)"," Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight."," Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","",""
"Hyena","MM","Medium","beast","unaligned","11","5 (1d8 + 1)","50 ft.","11","13","12","2","12","5","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.","","",""
"Jackal","MM","Small","beast","unaligned","12","3 (1d6)","40 ft.","8","15","11","3","12","6","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Hearing and Smell. The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.","","",""
"Lizard","MM","Tiny","beast","unaligned","10","2 (1d4)","20 ft., climb 20 ft.","2","11","10","1","8","3","","","","","","","darkvision 30 ft., passive Perception 9","—","0 (0 or 10 XP)",""," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","",""
"Octopus","MM","Small","beast","unaligned","12","3 (1d6)","5 ft., swim 30 ft.","4","15","11","3","10","4","","Perception +2, Stealth +4","","","","","darkvision 30 ft., passive Perception 12","—","0 (0 or 10 XP)"," Hold Breath. While out of water, the octopus can hold its breath for 30 minutes. Underwater Camouflage. The octopus has advantage on Dexterity (Stealth) checks made while underwater. Water Breathing. The octopus can breathe only underwater."," Tentacles. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage, and the target is grappled (escape DC 10). Until this grapple ends, the octopus can't use its tentacles on another target. Ink Cloud (Recharges after a Short or Long Rest). A 5-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.","","",""
"Owl","MM","Tiny","beast","unaligned","11","1 (1d4 - 1)","5 ft., fly 60 ft.","3","13","8","2","12","7","","Perception +3, Stealth +3","","","","","darkvision 120 ft., passive Perception 13","—","0 (0 or 10 XP)"," Flyby. The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. Keen Hearing and Sight. The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight."," Talons. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","",""
"Quipper","MM","Tiny","beast","unaligned","13","1 (1d4 - 1)","0 ft., swim 40 ft.","2","16","9","1","7","2","","","","","","","darkvision 60 ft., passive Perception 8","—","0 (0 or 10 XP)"," Blood Frenzy. The quipper has advantage on melee attack rolls against any creature that doesn't have all its hit points. Water Breathing. The quipper can breathe only underwater."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","",""
"Rat","MM","Tiny","beast","unaligned","10","1 (1d4 - 1)","20 ft.","2","11","9","2","10","4","","","","","","","darkvision 30 ft., passive Perception 10","—","0 (0 or 10 XP)"," Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","",""
"Raven","MM","Tiny","beast","unaligned","12","1 (1d4 - 1)","10 ft., fly 50 ft.","2","14","8","2","12","6","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Mimicry. The raven can mimic simple sounds it has heard, such as a person whispering, a baby crying, or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check."," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","",""
"Scorpion","MM","Tiny","beast","unaligned","11 (natural armor)","1 (1d4 - 1)","10 ft.","2","11","8","1","8","2","","","","","","","blindsight 10 ft., passive Perception 9","—","0 (0 or 10 XP)",""," Sting. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.","","",""
"Sea Horse","MM","Tiny","beast","unaligned","11","1 (1d4 - 1)","0 ft., swim 20 ft.","1","12","8","1","10","2","","","","","","","passive Perception 10","—","0 (0 or 10 XP)"," Water Breathing. The sea horse can breathe only underwater.","","","",""
"Spider","MM","Tiny","beast","unaligned","12","1 (1d4 - 1)","20 ft., climb 20 ft.","2","14","8","1","10","2","","Stealth +4","","","","","darkvision 30 ft., passive Perception 10","—","0 (0 or 10 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 9 Constitution saving throw or take 2 (1d4) poison damage.","","",""
"Vulture","MM","Medium","beast","unaligned","10","5 (1d8 + 1)","10 ft., fly 50 ft.","7","10","13","2","12","4","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated."," Beak. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.","","",""
"Weasel","MM","Tiny","beast","unaligned","13","1 (1d4 - 1)","30 ft.","3","16","8","2","12","3","","Perception +3, Stealth +5","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.","","",""
