"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Kobold Dragonshield","MPMM","Small","dragon","any alignment","15 (leather, shield)","44 (8d6 + 16)","20 ft.","12","15","14","8","9","10","","Perception +1","","see Dragon's Resistance below","","","darkvision 60 ft., passive Perception 11","Common, Draconic","1 (200 XP)"," Dragon's Resistance. The kobold has resistance to a type of damage based on the color of dragon that invested it with power (choose or roll a d10): 1–2, acid (black or copper); 3–4, cold (silver or white); 5–6, fire (brass, gold, or red); 7–8, lightning (blue or bronze); 9–10, poison (green). Heart of the Dragon. If the kobold is frightened or paralyzed by an effect that allows a saving throw, it can repeat the save at the start of its turn to end the effect on itself and all kobolds within 30 feet of it. Any kobold that benefits from this trait (including the dragonshield) has advantage on its next attack roll. Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The kobold makes two Spear attacks. Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.","","","","","","","Forest, Hill, Mountain, Underdark"
"Kobold Elite","TftYP","Small","humanoid (kobold)","lawful evil","12","7 (2d6 - 2)","30 ft.","7","15","9","8","7","8","","","","","","","darkvision 60 ft., passive Perception 8","Common, Draconic","1/8 (25 XP)"," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.","","","","","","",""
"Kobold Inventor","MPMM","Small","humanoid","any alignment","12","13 (3d6 + 3)","30 ft.","7","15","12","14","10","8","","","","","","","darkvision 60 ft., passive Perception 10","Common, Draconic","1/4 (50 XP)"," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage. Weapon Invention. The kobold uses one of the following options (choose one or roll a d8); the kobold can use each one no more than once per day:1: Acid. The kobold hurls a flask of acid. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 7 (2d6) acid damage.2: Alchemist's Fire. The kobold throws a flask of alchemist's fire. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 2 (1d4) fire damage at the start of each of the target's turns. The target can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.3: Basket of Centipedes. The kobold throws a small basket into a 5-foot-square space within 20 feet of it. A swarm of insects (centipedes) with 11 hit points emerges from the basket and rolls initiative. At the end of each of the swarm's turns, there's a 50 percent chance that the swarm disperses.4: Green Slime Pot. The kobold throws a clay pot full of green slime at the target, and it breaks open on impact. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 5 (1d10) acid damage, and the target is covered in slime until a creature uses its action to scrape or wash the slime off. A target covered in the slime takes 5 (1d10) acid damage at the start of each of its turns.5: Rot Grub Pot. The kobold throws a clay pot into a 5-foot-square space within 20 feet of it, and it breaks open on impact. A swarm of rot grubs (in this book) emerges from the shattered pot and remains a hazard in that square.6: Scorpion on a Stick. The kobold makes a melee attack with a scorpion tied to the end of a 5-foot-long pole. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.7: Skunk in a Cage. The kobold releases a skunk into an unoccupied space within 5 feet of it. The skunk has a walking speed of 20 feet, AC 10, 1 hit point, and no effective attacks. It rolls initiative and, on its turn, uses its action to spray musk at a random creature within 5 feet of it. The target must succeed on a DC 9 Constitution saving throw, or it retches and is incapacitated for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. A creature that doesn't need to breathe or is immune to poison automatically succeeds on the saving throw. Once the skunk has sprayed its musk, it can't do so again until it finishes a short or long rest.8: Wasp Nest in a Bag. The kobold throws a small bag into a 5-foot-square space within 20 feet of it. A swarm of insects (wasps) with 11 hit points emerges from the bag and rolls initiative. At the end of each of the swarm's turns, there's a 50 percent chance that the swarm disperses.","","","","","","","Forest, Hill, Mountain, Underdark, Urban"
"Kobold Scale Sorcerer","MPMM","Small","humanoid","any alignment","15 (natural armor)","27 (5d6 + 10)","30 ft.","7","15","14","10","9","14","","Arcana +2, Medicine +1","","","","","darkvision 60 ft., passive Perception 9","Common, Draconic","1 (200 XP)"," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The kobold makes two Dagger or Chromatic Bolt attacks. It can replace one attack with a use of Spellcasting. Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Chromatic Bolt. Ranged Spell Attack: +4 to hit, range 60 feet, one target. Hit: 9 (2d6 + 2) of a type of the kobold's choice: acid, cold, fire, lightning, poison, or thunder. Spellcasting. The kobold casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 12):At will: mage hand, prestidigitation2/day each: charm person, fog cloud, levitate","","","","","","","Forest, Hill, Mountain, Underdark, Urban"
"Kobold Underling","EGW","Small","humanoid (kobold)","lawful evil","13","7 (3d6 - 3)","30 ft.","7","16","9","8","9","8","","","","","","","darkvision 60 ft., passive Perception 9","Common, Draconic","1/8 (25 XP)"," Messy End. The kobold explodes 3 rounds after it dies, or immediately if it was killed by a critical hit. The explosion destroys the kobold's body, leaving its equipment behind. Each creature within 5 feet of the exploding kobold must make a DC 10 Dexterity saving throw, taking 4 (1d8) bludgeoning damage on a failed save, or half as much damage on a successful one. Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Hand Crossbow. Ranged Weapon Attack: +5 to hit, range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","","","","","","",""
"Kobold Vampire Spawn","IDRotF","Small","undead","neutral evil","14","39 (6d6 + 18)","30 ft., climb 20 ft.","10","18","16","8","8","8","Dex +6, Wis +1","Perception +1, Stealth +6","","necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","","","darkvision 60 ft., passive Perception 11","Common, Draconic","3 (700 XP)"," Pack Tactics. The vampire has advantage on an attack roll against a creature if at least one of the vampire's allies is within 5 feet of the creature and the ally isn't incapacitated. Regeneration. The vampire regains 10 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of its next turn. Unusual Nature. The vampire doesn't require air. Vampire Weaknesses. The vampire has the following flaws:Forbiddance. The vampire can't enter a residence without an invitation from one of the occupants.Harmed by Running Water. The vampire takes 20 acid damage when it starts its turn in running water.Stake to the Heart. The vampire is destroyed if a piercing weapon made of wood is driven into its heart while it is incapacitated in its resting place.Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 6 (1d4 + 4) piercing damage plus 5 (2d4) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0.","","","","","","",""
"Koi Prawn","JttRC","Large","beast","unaligned","13 (natural armor)","16 (3d10)","0 ft., swim 40 ft.","12","15","11","2","12","5","","","","","","","passive Perception 11","—","1/2 (100 XP)"," Charge. If the prawn moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. Water Breathing. The prawn can breathe only underwater."," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.","","","","","","",""
"Korred","MPMM","Small","fey","chaotic neutral","17 (natural armor)","93 (11d6 + 55)","30 ft., burrow 30 ft.","23","14","20","10","15","9","","Athletics +9, Perception +5, Stealth +5","","bludgeoning, piercing, and slashing from nonmagical attacks","","","darkvision 120 ft., tremorsense 120 ft., passive Perception 15","Dwarvish, Gnomish, Sylvan, Terran, Undercommon","7 (2,900 XP)"," Stone Camouflage. The korred has advantage on Dexterity (Stealth) checks made to hide in rocky terrain."," Multiattack. The korred makes two Greatclub or Rock attacks. Greatclub. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 10 (1d8 + 6) bludgeoning damage, or 19 (3d8 + 6) bludgeoning damage if the korred is on the ground. Rock. Ranged Weapon Attack: +9 to hit, range 60/120 ft., one target. Hit: 10 (1d8 + 6) bludgeoning damage, or 19 (3d8 + 6) bludgeoning damage if the korred is on the ground. Spellcasting. The korred casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability (spell save DC 13):At will: commune with nature (as an action), meld into stone, stone shape1/day: Otto's irresistible dance"," Command Hair. The korred has at least one 50-foot-long rope woven out of its hair. The korred commands one such rope within 30 feet of it to move up to 20 feet and entangle a Large or smaller creature that the korred can see. The target must succeed on a DC 13 Dexterity saving throw or become grappled by the rope (escape DC 13). Until this grapple ends, the target is restrained. The korred can use a bonus action to release the target, which is also freed if the korred dies or becomes incapacitated.A rope of korred hair has AC 20 and 20 hit points. It regains 1 hit point at the start of each of the korred's turns while the rope has at least 1 hit point and the korred is alive. If the rope drops to 0 hit points, it is destroyed.","","","","","","Forest"
"Kraken","MM","Gargantuan","monstrosity (titan)","chaotic evil","18 (natural armor)","472 (27d20 + 189)","20 ft., swim 60 ft.","30","11","25","22","18","20","Str +17, Dex +7, Con +14, Int +13, Wis +11","","","","lightning; bludgeoning, piercing, and slashing from nonmagical attacks","frightened, paralyzed","truesight 120 ft., passive Perception 14","Abyssal, Celestial, Infernal, Primordial, telepathy 120 ft. but can't speak","23 (50,000 XP)"," Amphibious. The kraken can breathe air and water. Freedom of Movement. The kraken ignores difficult terrain, and magical effects can't reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled. Siege Monster. The kraken deals double damage to objects and structures."," Multiattack. The kraken makes three tentacle attacks, each of which it can replace with one use of Fling. Bite. Melee Weapon Attack: +17 to hit, reach 5 ft., one target. Hit: 23 (3d8 + 10) piercing damage. If the target is a Large or smaller creature grappled by the kraken, that creature is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the kraken, and it takes 42 (12d6) acid damage at the start of each of the kraken's turns. If the kraken takes 50 damage or more on a single turn from a creature inside it, the kraken must succeed on a DC 25 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the kraken. If the kraken dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 15 feet of movement, exiting prone. Tentacle. Melee Weapon Attack: +17 to hit, reach 30 ft., one target. Hit: 20 (3d6 + 10) bludgeoning damage, and the target is grappled (escape DC 18). Until this grapple ends, the target is restrained. The kraken has ten tentacles, each of which can grapple one target. Fling. One Large or smaller object held or creature grappled by the kraken is thrown up to 60 feet in a random direction and knocked prone. If a thrown target strikes a solid surface, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 18 Dexterity saving throw or take the same damage and be knocked prone. Lightning Storm. The kraken magically creates three bolts of lightning, each of which can strike a target the kraken can see within 120 feet of it. A target must make a DC 23 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.","",""," Tentacle Attack or Fling. The kraken makes one tentacle attack or uses its Fling. Lightning Storm (Costs 2 Actions). The kraken uses Lightning Storm. Ink Cloud (Costs 3 Actions). While underwater, the kraken expels an ink cloud in a 60-foot radius. The cloud spreads around corners, and that area is heavily obscured to creatures other than the kraken. Each creature other than the kraken that ends its turn there must succeed on a DC 23 Constitution saving throw, taking 16 (3d10) poison damage on a failed save, or half as much damage on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of the kraken's next turn.","","On initiative count 20 (losing initiative ties), the kraken takes a lair action to cause one of the following magical effects:A strong current moves through the kraken's lair. Each creature within 60 feet of the kraken must succeed on a DC 23 Strength saving throw or be pushed up to 60 feet away from the kraken. On a success, the creature is pushed 10 feet away from the kraken.Creatures in the water within 60 feet of the kraken have vulnerability to lightning damage until initiative count 20 on the next round.The water in the kraken's lair becomes electrically charged. All creatures within 120 feet of the kraken must succeed on a DC 23 Constitution saving throw, taking 10 (3d6) lightning damage on a failed save, or half as much damage on a successful one.","The region containing a kraken's lair is warped by the creature's blasphemous presence, creating the following magical effects:The kraken can alter the weather at will in a 6-mile radius centered on its lair. The effect is identical to the control weather spell.Water elementals coalesce within 6 miles of the lair. These elementals can't leave the water and have Intelligence and Charisma scores of 1 (-5).Aquatic creatures within 6 miles of the lair that have an Intelligence score of 2 or lower are charmed by the kraken and aggressive toward intruders in the area.When the kraken dies, all of these regional effects fade immediately.","Underwater"
"Kraken Priest","MPMM","Medium","monstrosity","chaotic evil","15 (natural armor)","75 (10d8 + 30)","30 ft., swim 30 ft.","12","10","16","10","15","14","","Perception +5","","","","","passive Perception 15","any two languages","5 (1,800 XP)"," Amphibious. The priest can breathe air and water."," Multiattack. The priest makes two Thunderous Touch or Thunderbolt attacks. Thunderous Touch. Melee Spell Attack: +5 to hit, reach 5 ft., one target. Hit: 27 (5d10) thunder damage. Thunderbolt. Ranged Spell Attack: +5 to hit, range 60 ft., one target. Hit: 11 (2d10) lightning damage plus 11 (2d10) thunder damage, and the target is knocked prone. Spellcasting. The priest casts one of the following spells, requiring no material components and using Wisdom as the spellcasting ability (spell save DC 13):At will: command, create or destroy water3/day each: control water, darkness, water breathing, water walk1/day: Evard's black tentacles Voice of the Kraken (Recharges after a Short or Long Rest). A kraken speaks through the priest with a thunderous voice audible within 300 feet. Creatures of the priest's choice that can hear the kraken's words (which are spoken in Abyssal, Infernal, or Primordial) must succeed on a DC 14 Wisdom saving throw or be frightened of the priest for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","Coastal, Underwater"
"Kraul Death Priest","GGR","Medium","humanoid (kraul)","neutral evil","18 (natural armor)","65 (10d8 + 20)","30 ft., climb 30 ft., fly 40 ft.","16","12","14","12","15","10","Con +4, Wis +4","Insight +4, Nature +3, Religion +3","","","","","darkvision 60 ft., passive Perception 12","Common, Kraul","4 (1,100 XP)"," Feed on Death. When a creature within 30 feet of the kraul drops to 0 hit points, the kraul or another creature of its choice within 30 feet of it gains 5 (1d10) temporary hit points, provided the kraul isn't incapacitated. Hive Mind. The kraul is immune to the charmed and frightened conditions while within 30 feet of at least one other kraul. Innate Spellcasting. The kraul's innate spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The kraul can innately cast the following spells, requiring no material components:At will: chill touch, poison spray3/day each: ray of enfeeblement, ray of sickness1/day each: animate dead, blight, vampiric touch Pack Tactics. The kraul has advantage on an attack roll against a creature if at least one of the kraul's allies is within 5 feet of the creature and the ally isn't incapacitated. Spider Climb. The kraul can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The kraul makes one attack with its quarterstaff and casts one of its spells with a casting time of 1 action. Quarterstaff. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage, or 7 (1d8 + 3) bludgeoning damage if used with two hands.","","","","","","",""
"Kraul Warrior","GGR","Medium","humanoid (kraul)","neutral evil","18 (natural armor)","27 (5d8 + 5)","30 ft., climb 30 ft.","15","12","13","10","11","8","","","","","","","darkvision 60 ft., passive Perception 10","Kraul, understands Common but can't speak it","1/2 (100 XP)"," Hive Mind. The kraul is immune to the charmed and frightened conditions while within 30 feet of at least one other kraul. Pack Tactics. The kraul has advantage on an attack roll against a creature if at least one of the kraul's allies is within 5 feet of the creature and the ally isn't incapacitated. Spider Climb. The kraul can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.","","","","","","",""
"Kruthik Hive Lord","MPMM","Large","monstrosity","unaligned","20 (natural armor)","102 (12d10 + 36)","40 ft., burrow 20 ft., climb 40 ft.","19","16","17","10","14","10","","Perception +8","","","","","darkvision 60 ft., tremorsense 60 ft., passive Perception 18","Kruthik","5 (1,800 XP)"," Pack Tactics. The kruthik has advantage on an attack roll against a creature if at least one of the kruthik's allies is within 5 feet of the creature and the ally isn't incapacitated. Tunneler. The kruthik can burrow through solid rock at half its burrowing speed and leaves a 10-foot-diameter tunnel in its wake."," Multiattack. The kruthik makes two Stab or Spike attacks. Stab. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage. Spike. Ranged Weapon Attack: +6 to hit, range 30/120 ft., one target. Hit: 7 (1d6 + 4) piercing damage. Acid Spray (Recharge 5–6). The kruthik sprays acid in a 15-foot cone. Each creature in that area must make a DC 14 Dexterity saving throw, taking 22 (4d10) acid damage on a failed save, or half as much damage on a successful one.","","","","","","","Desert, Mountain, Underdark"
"Kuo-toa","MM","Medium","humanoid (kuo-toa)","neutral evil","13 (natural armor, shield)","18 (4d8)","30 ft., swim 30 ft.","13","10","11","11","10","8","","Perception +4","","","","","darkvision 120 ft., passive Perception 14","Undercommon","1/4 (50 XP)"," Amphibious. The kuo-toa can breathe air and water. Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving. Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple. Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage. Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack. Net. Ranged Weapon Attack: +3 to hit, range 5/15 ft., one Large or smaller creature. Hit: The target is restrained. A creature can use its action to make a DC 10 Strength check to free itself or another creature in a net, ending the effect on a success. Dealing 5 slashing damage to the net (AC 10) frees the target without harming it and destroys the net.",""," Sticky Shield. When a creature misses the kuo-toa with a melee weapon attack, the kuo-toa uses its sticky shield to catch the weapon. The attacker must succeed on a DC 11 Strength saving throw, or the weapon becomes stuck to the kuo-toa's shield. If the weapon's wielder can't or won't let go of the weapon, the wielder is grappled while the weapon is stuck. While stuck, the weapon can't be used. A creature can pull the weapon free by taking an action to make a DC 11 Strength check and succeeding.","","","","","Underdark"
"Kuo-toa Archpriest","MM","Medium","humanoid (kuo-toa)","neutral evil","13 (natural armor)","97 (13d8 + 39)","30 ft., swim 30 ft.","16","14","16","13","16","14","","Perception +9, Religion +7","","","","","darkvision 120 ft., passive Perception 19","Undercommon","6 (2,300 XP)"," Amphibious. The kuo-toa can breathe air and water. Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving. Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple. Spellcasting. The kuo-toa is a 10th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 14, +6 to hit with spell attacks). The kuo-toa has the following cleric spells prepared:Cantrips (at will): guidance, sacred flame, thaumaturgy1st level (4 slots): detect magic, sanctuary, shield of faith2nd level (3 slots): hold person, spiritual weapon3rd level (3 slots): spirit guardians, tongues4th level (3 slots): control water, divination5th level (2 slots): mass cure wounds, scrying Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The kuo-toa makes two melee attacks. Scepter. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage plus 14 (4d6) lightning damage. Unarmed Strike. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage.","","","","","","","Underdark"
"Kuo-toa Monitor","MM","Medium","humanoid (kuo-toa)","neutral evil","13 (natural armor, Unarmored Defense)","65 (10d8 + 20)","30 ft., swim 30 ft.","14","10","14","12","14","11","","Perception +6, Religion +5","","","","","darkvision 120 ft., passive Perception 16","Undercommon","3 (700 XP)"," Amphibious. The kuo-toa can breathe air and water. Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving. Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple. Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight. Unarmored Defense. The kuo-toa adds its Wisdom modifier to its armor class."," Multiattack. The kuo-toa makes one bite attack and two unarmed strikes. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Unarmed Strike. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage plus 3 (1d6) lightning damage, and the target can't take reactions until the end of the kuo-toa's next turn.","","","","","","","Underdark"
"Kuo-toa Whip","MM","Medium","humanoid (kuo-toa)","neutral evil","11 (natural armor)","65 (10d8 + 20)","30 ft., swim 30 ft.","14","10","14","12","14","11","","Perception +6, Religion +5","","","","","darkvision 120 ft., passive Perception 16","Undercommon","1 (200 XP)"," Amphibious. The kuo-toa can breathe air and water. Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving. Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple. Spellcasting. The kuo-toa is a 2nd-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The kuo-toa has the following cleric spells prepared:Cantrips (at will): sacred flame, thaumaturgy1st level (3 slots): bane, shield of faith Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The kuo-toa makes two attacks: one with its bite and one with its pincer staff. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Pincer Staff. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 14). Until this grapple ends, the kuo-toa can't use its pincer staff on another target.","","","","","","","Underdark"
"Lacedon","TftYP","Medium","undead","chaotic evil","12","22 (5d8)","30 ft., swim 30 ft.","13","15","10","7","10","6","","","","","poison","charmed, exhaustion, poisoned","darkvision 60 ft., passive Perception 10","Common","1 (200 XP)",""," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 9 (2d6 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage. If the target is a creature other than an elf or undead, it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","",""
"Lady Illmarrow","ERLW","Medium","undead","neutral evil","19 (natural armor)","199 (21d8 + 105)","30 ft., fly 40 ft.","16","16","20","27","21","24","Con +12, Int +15, Wis +12","Arcana +15, History +15, Insight +12, Perception +12","","cold, lightning","necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, stunned","truesight 120 ft., passive Perception 22","Common, Draconic, Elvish","22 (41,000 XP)"," Legendary Resistance (3/Day). If Illmarrow fails a saving throw, she can choose to succeed instead. Magic Resistance. Illmarrow has advantage on saving throws against spells and other magical effects. Rejuvenation. Illmarrow's body turns to dust when she drops to 0 hit points, and her equipment is left behind. She gains a new body after 1d10 days, regaining all her hit points and becoming active again. The new body appears within two hundred miles of the location at which she was destroyed. Spellcasting. Illmarrow is a 20th-level spellcaster. Her spellcasting ability is Intelligence (spell save DC 23, +15 to hit with spell attacks). Illmarrow has the following wizard spells prepared:Cantrips (at will): chill touch (see ""Actions"" below), fire bolt, mage hand, prestidigitation, ray of frost1st level (4 slots): magic missile, shield, sleep2nd level (3 slots): blur, detect thoughts, mirror image3rd level (3 slots): animate dead, counterspell, fireball, fly, lightning bolt4th level (3 slots): blight, confusion, polymorph5th level (3 slots): cloudkill, cone of cold, hold monster, scrying6th level (2 slots): chain lightning, circle of death, create undead7th level (2 slots): finger of death, forcecage, prismatic spray8th level (1 slot): incendiary cloud, maze9th level (1 slot): power word kill, time stop"," Chill Touch (Cantrip). Ranged Spell Attack: +15 to hit, range 120 ft., one creature. Hit: 18 (4d8) necrotic damage, and the target can't regain hit points until the start of Illmarrow's next turn. If the target is undead, it also has disadvantage on attack rolls against Illmarrow until the end of her next turn. Paralyzing Claw. Melee Weapon Attack: +10 to hit, reach 5 ft., one creature. Hit: 13 (3d6 + 3) slashing damage plus 10 (3d6) cold damage, and the target must succeed on a DC 20 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Poison Breath (Recharge 5–6). Illmarrow exhales poisonous gas in a 30-foot cone. Each creature in that area must make a DC 20 Constitution saving throw. On a failed save, a creature takes 35 (10d6) poison damage and is poisoned for 1 minute. While poisoned in this way, the creature can't regain hit points. On a successful save, the creature takes half as much damage and isn't poisoned.A humanoid reduced to 0 hit points by this damage dies and rises at the start of Illmarrow's next turn as a zombie. The zombie acts immediately after Illmarrow in the initiative count and is permanently under her command, following her verbal orders.","",""," Cantrip. Illmarrow casts a cantrip. Paralyzing Claw. Illmarrow uses her Paralyzing Claw. Frightening Presence (Costs 2 Actions). Illmarrow targets up to three creatures she can see within 30 feet of her. Each target must succeed on a DC 20 Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to Illmarrow's Frightening Presence for the next 24 hours. Poison Breath (Costs 3 Actions). Illmarrow recharges her Poison Breath and uses it.","","","",""
